BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA;TURNO;ZONA
PARQUE DAS DUNAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM1;sáb;ADU;NOT;Oeste
PLANALTO;MASC;PAR;AUXILIAR DE PEDREIRO;NI_ESC;ARMA_F;fev;SEM2;ter;ADU;NOT;Oeste
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM3;qui;ADU;VES;Oeste
PONTA NEGRA;MASC;PAR;VENDEDOR;NI_ESC;PEDRA;abr;SEM4;dom;ADU;MAT;Sul
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM3;ter;ADU;VES;Oeste
QUINTAS;MASC;PAR;PINTOR;NI_ESC;ARMA_F;jan;SEM2;sex;ADU;MAT;Oeste
QUINTAS;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;mar;SEM5;seg;ADU;MAT;Oeste
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;sex;ADU;NOT;Oeste
ROCAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM4;qua;ADU;MAT;Leste
ALECRIM;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM3;qui;ADU;NOT;Leste
DIX-SEPT ROSADO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;out;SEM1;seg;ADU;NOT;Oeste
DIX-SEPT ROSADO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM4;sex;ADU;VES;Oeste
DIX-SEPT ROSADO;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM1;qui;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM4;qua;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM2;qui;ADU;MAD;Oeste
GUARAPES;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM4;seg;ADU;VES;Oeste
GUARAPES;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;fev;SEM5;seg;ADU;NOT;Oeste
IGAPÓ;MASC;PAR;SERVENTE DE PEDREIRO;EFI;ARMA_F;dez;SEM5;qui;ADU;NOT;Norte
IGAPÓ;FEM;PAR;NI_PROF;NI_ESC;ARMA_F;mar;SEM5;qua;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;fev;SEM1;qua;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM2;dom;ADU;MAD;Norte
NORDESTE;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM3;sáb;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM3;ter;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM1;sex;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM2;qui;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM5;qui;ADU;VES;Norte
PAJUÇARA;MASC;PAR;ENTREGADOR DE AGUA;NI_ESC;ARMA_F;dez;SEM2;sáb;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;AJUDANTE DE PEDREIRO;NI_ESC;ARMA_F;mar;SEM3;seg;ADU;NOT;Norte
PITIMBU;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mar;SEM4;dom;ADU;VES;Sul
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM5;seg;ADU;NOT;Oeste
POTENGI;MASC;BRA;MARCENEIRO;NI_ESC;ARMA_F;set;SEM5;sex;ADU;MAT;Norte
QUINTAS;MASC;PAR;FEIRANTE;NI_ESC;ARMA_F;fev;SEM4;sex;ADU;NOT;Oeste
ROCAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM2;ter;ADU;NOT;Leste
CANDELÁRIA;MASC;PAR;CARROCEIRO;NI_ESC;ARMA_F;mar;SEM1;qui;ADU;NOT;Sul
CIDADE DA ESPERANÇA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM3;sáb;ADU;VES;Oeste
CIDADE NOVA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM1;sex;ADU;NOT;Oeste
DIX-SEPT ROSADO;MASC;PAR;AJ DE SOLDADOR;NI_ESC;ARMA_F;jul;SEM3;sáb;ADU;NOT;Oeste
DIX-SEPT ROSADO;MASC;PAR;SOLDADOR;NI_ESC;ARMA_F;jan;SEM1;ter;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;CARROCEIRO;EFC;ARMA_F;nov;SEM3;sex;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mai;SEM2;qui;ADU;NOT;Oeste
IGAPÓ;MASC;PAR;AUXILIAR DE PIZZAIOLO;NI_ESC;ARMA_F;abr;SEM5;ter;ADU;MAT;Norte
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM2;dom;ADU;NOT;Norte
LAGOA AZUL;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM2;qui;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;mar;SEM4;qui;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;set;SEM2;sáb;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM2;qua;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM1;sex;ADU;MAD;Norte
MÃE LUÍZA;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;jan;SEM2;qui;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;qui;ADU;MAD;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;qui;ADU;MAD;Norte
NOVA DESCOBERTA;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM2;qua;ADU;MAT;Sul
PAJUÇARA;MASC;PAR;BORRACHEIRO;NI_ESC;ARMA_F;mar;SEM2;ter;ADU;NOT;Norte
PETRÓPOLIS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM1;qua;ADU;NOT;Leste
PLANALTO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM4;qui;ADU;VES;Oeste
PLANALTO;MASC;PAR;AUXILIAR DE PEDREIRO;NI_ESC;ARMA_F;mar;SEM1;sex;ADU;NOT;Oeste
PLANALTO;FEM;PAR;DO LAR;NI_ESC;ARMA_F;mar;SEM1;sex;ADU;NOT;Oeste
PONTA NEGRA;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;fev;SEM2;ter;ADU;VES;Sul
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM3;dom;ADU;VES;Norte
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;AMP;mar;SEM3;sáb;ADU;VES;Norte
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;abr;SEM5;ter;ADU;MAD;Norte
POTENGI;MASC;NI_ETN;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM4;sex;ADU;NI_TUR;Norte
PRAIA DO MEIO;MASC;PAR;FEIRANTE;NI_ESC;ARMA_F;dez;SEM3;dom;ADU;VES;Leste
QUINTAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM5;ter;ADU;NOT;Oeste
REDINHA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM3;seg;ADU;VES;Norte
ROCAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM5;qua;ADU;VES;Leste
SALINAS;MASC;PAR;CABELELEIRO;NI_ESC;ARMA_F;jul;SEM2;dom;ADU;MAD;Norte
ALECRIM;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM5;ter;ADU;VES;Leste
BOM PASTOR;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM3;sex;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;VENDEDOR AMBULANTE;NI_ESC;ARMA_F;jul;SEM4;sáb;ADU;MAT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;mar;SEM5;qui;ADU;VES;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM5;ter;ADU;NOT;Oeste
CIDADE NOVA;MASC;PAR;BORRACHEIRO;EFI;ARMA_F;dez;SEM4;seg;ADU;MAT;Oeste
